shift,question,options,answer,subject,chapter
29 Jan Shift 1,"Let A = [a ij ] = [ log 5 8 log 4 25 ]. If A ij is the cofactor of a ij ,C ij = ∑2 k=1 a ik A jk ,1 ≤ i,j ≤ 2, and 5 4 C = [C ij ], then 8|C| is equal to :",(1) 288 | (2) 222 | (3) 242 | (4) 262,3,math,Matrices & Determinants
29 Jan Shift 1,"Let |z 1 −8−2i| ≤ 1 and |z 2 −2+6i| ≤ 2,z 1 ,z 2 ∈ C. Then the minimum value of |z 1 −z 2 | is :",(1) 13 | (2) 10 | (3) 3 | (4) 7,4,math,Complex Numbers
29 Jan Shift 1,"Let L 1 : x− 1 1 = y − − 1 2 = z− 2 1 and L 2 : x − + 1 1 = y− 2 2 = 1 z be two lines. Let L 3 be a line passing through the point (α,β,γ) and be perpendicular to both L 1 and L 2. If L 3 intersects L 1, then |5α−11β−8γ| equals :",(1) 20 | (2) 18 | (3) 25 | (4) 16,3,math,3D Geometry (Lines)
29 Jan Shift 1,"Let M and m respectively be the maximum and the minimum values of 1+sin2x cos2x 4sin4x f(x) = sin2x 1+cos2x 4sin4x ,x ∈ R Then M4 −m4 is equal to : sin2x cos2x 1+4sin4x",,1,math,Trigonometric Functions
29 Jan Shift 1,"Let ABC be a triangle formed by the lines 7x−6y+3 = 0,x+2y−31 = 0 and 9x−2y−19 = 0. Let the point (h,k) be the image of the centroid of ΔABC in the line 3x+6y−53 = 0. Then h2 +k2 +hk is equal to:",(1) 47 | (2) 37 | (3) 36 | (4) 40,2,math,Coordinate Geometry
29 Jan Shift 1,The value of lim n→∞ (∑n k=1 k3+6 ( k k 2 + + 3 1 ) 1 ! k+5) is:,(1) 4/3 | (2) 2 | (3) 7/3 | (4) 5/3,4,math,Limits
29 Jan Shift 1,"The least value of n for which the number of integral terms in the Binomial expansion of (√3 7+1√2 11)n is 183, is :",(1) 2184 | (2) 2196 | (3) 2148 | (4) 2172 2 025,1,math,Binomial Theorem
29 Jan Shift 1,"Let y = y(x) be the solution of the differential equation cosx(log (cosx))2dy+(sinx−3ysinxlog (cosx))dx = 0,x ∈ (0, π). If y(π) = −1 , then y(π) is e e 2 4 log 2 6 e equal to : 1 2",(1) | (2) log | (3)−log | (4) log | (3)−log | (4) e e e e | (3) 1 | (4) − 1 log | (4)−log | (3) log | (4) e e e,1,math,Differential Equations
29 Jan Shift 1,"Let the line x+y = 1 meet the circle x2 +y2 = 4 at the points A and B . If the line perpendicular to AB and passing through the mid point of the chord AB intersects the circle at C and D, then the area of the quadrilateral ADBC is equal to :",(1) √14 | (2) 3√7 | (3) 2√14 | (4) 5√7,3,math,Circle
29 Jan Shift 1,"Let the area of the region {(x,y) : 2y ≤ x2 +3,y+|x| ≤ 3,y ⩾ |x−1|} be A. Then 6 A is equal to :",(1) 16 | (2) 12 | (3) 14 | (4) 18,3,math,Coordinate Geometry
29 Jan Shift 1,Let S = {x : cos−1x = π+sin−1x+sin−1(2x+1)}. Then ∑ (2x−1)2 is equal to ______. x∈ S,,5,math,Inverse Trigonometric Functions
29 Jan Shift 1,"Let f : (0,∞) → R be a twice differentiable function. If for some a ≠ 0,∫1f(λx)dλ = af(x),f","(1) = 1 and 0 f | (16) = 1 , then 16−f′( 1 ) is equal to _______. 8 16",112,math,Differential Calculus
29 Jan Shift 1,"The number of 6-letter words, with or without meaning, that can be formed using the letters of the word MATHS such that any letter that appears in the word must appear at least twice, is _______. 2 −1",,1405,math,Permutation & Combination
29 Jan Shift 1,"Let S = {m ∈ Z : Am2 +Am = 3I−A−6}, where A = [ ]. Then n(S) is equal to ______. 1 0",,2,math,Matrices & Determinants
29 Jan Shift 1,Let [t] be the greatest integer less than or equal to t. Then the least value of p ∈ N for which lim x→0+ (x([ x 1]+[ x 2]+…+[ x p])−x2([ x 1 2 ]+[ x 22 2 ]+…+[ x 92 2 ])) ≥ 1 is equal to ________. →,,24,math,Limits
29 Jan Shift 1,"An electric dipole of mass m, charge q, and length l is placed in a uniform electric field E = E 0 ^i. When the dipole is rotated slightly from its equilibrium position and released, the time period of its oscillations will be:",(1) 1 √ ml | (2) 2π√ ml 2π 2qE qE 0 0 | (3) 1 √2 ml | (4) 2π√ ml 2π qE 2qE 0 0,4,physics,Oscillations
29 Jan Shift 1,"A coil of area A and N turns is rotating with angular velocity ω in a uniform magnetic field B→ about an axis perpendicular to B→ . Magnetic flux φ and induced emfε across it, at an instant when B→ is parallel to the plane of coil, are :","(1) φ = AB,ε = 0 | (2) φ = 0,ε = 0 | (3) φ = 0,ε = NABω | (4) φ = AB,ε = NABω",3,physics,Electromagnetic Induction
29 Jan Shift 1,"Given below are two statements : one is labelled as Assertion (A) and the other is labelled as Reason (R). Assertion (A) : Choke coil is simply a coil having a large inductance but a small resistance. Choke coils are used with fluorescent mercury-tube fittings. If household electric power is directly connected to a mercury tube, the tube will be damaged. Reason (R): By using the choke coil, the voltage across the tube is reduced by a factor (R/√R2 +ω2L2), where ω is frequency of the supply across resistor R and inductor L . If the choke coil were not used, the voltage across the resistor would be the same as the applied voltage. In the light of the above statements, choose the most appropriate answer from the options given below :",(1) (A) is true but (R) is false | (2) Both (A) and (R) are true and (R) is the correct explanation of (A) | (3) (A) is false but (R) is true | (4) Both (A) and (R) are true but (R) is not the correct explanation of (A),2,physics,Electromagnetic Induction
29 Jan Shift 1,"As shown below, bob A of a pendulum having massless string of length ' R ' is released from 60∘ to the vertical. It hits another bob B of half the mass that is at rest on a friction less table in the center. Assuming elastic collision, the magnitude of the velocity of bob A after the collision will be (take g as acceleration due to gravity.)",(1) 4√Rg | (2) 2√Rg 3 3 | (3) √Rg | (4) 1√Rg 3,4,physics,Laws Of Motion + Collisions
29 Jan Shift 1,"Given below are two statements : one is labelled as Assertion (A) and the other is labelled as Reason (R). Assertion (A) : Electromagnetic waves carry energy but not momentum. Reason (R): Mass of a photon is zero. In the light of the above statements, choose the most appropriate answer from the options given below :",(1) Both (A) and (R) are true and (R) is the correct | (2) Both (A) and (R) are true but (R) is not the explanation of (A) correct explanation of (A) | (3) (A) is false but (R) is true | (4) (A) is true but (R) is false,3,physics,Electromagnetic Waves
29 Jan Shift 1,"Two projectiles are fired with same initial speed from same point on ground at angles of (45∘ −α) and (45∘ +α), respectively, with the horizontal direction. The ratio of their maximum heights attained is : ",(1) 1−tanα 1−sin2α| (2) 1+tanα 1+sin2α 1+sin2α 1+sinα | (3) | (4) 1−sin2α 1−sinα,2,physics,Projectile Motion
29 Jan Shift 1,"If λ and K are de Broglie wavelength and kinetic energy, respectively, of a particle with constant mass. The correct graphical representation for the particle will be ",(1) | (2) | (3) | (4),2,physics,Dual Nature Of Matter And Radiation
29 Jan Shift 1,"Given below are two statements : one is labelled as Assertion (A) and the other is labelled as Reason (R). Assertion (A) : Emission of electrons in photoelectric effect can be suppressed by applying a sufficiently negative electron potential to the photoemissive substance. Reason (R) : A negative electric potential, which stops the emission of electrons from the surface of a photoemissive substance, varies linearly with frequency of incident radiation. In the light of the above statements, choose the most appropriate answer from the options given below :",(1) (A) is false but (R) is true | (2) (A) is true but (R) is false | (3) Both (A) and (R) are true and (R) is the correct | (4) Both (A) and (R) are true but (R) is not the explanation of (A) correct explanation of (A),4,physics,Dual Nature Of Matter And Radiation
29 Jan Shift 1,"Consider a long straight wire of a circular cross-section (radius a) carrying a steady current I. The current is uniformly distributed across this cross-section. The distances from the centre of the wire's cross-section at which the magnetic field [inside the wire, outside the wire] is half of the maximum possible magnetic field, any where due to the wire, will be","(1) [a/4,3a/2] | (2) [a/4,2a] | (3) [a/2,2a] | (4) [a/2,3a]",3,physics,Magnetism And Matter / Current Electricity
29 Jan Shift 1,"At the interface between two materials having refractive indices n 1 and n 2, the critical angle for reflection of an em wave is θ 1C. The n 2 material is replaced by another material having refractive index n 3 such that the critical angle at the interface between n 1 and n 3 materials is θ 2C. If n 3 > n 2 > n 1 ; n n 2 = 2 5 and 3 sinθ 2C −sinθ 1C = 1 2 , then θ 1C is",(1) sin−1 | (1) | (2) sin−1 | (1) 6 3 | (3) sin−1(−5) | (4) sin−1 | (2) 6 3,3,physics,Ray Optics
29 Jan Shift 1,"Let u and v be the distances of the object and the image from a lens of focal length f. The correct graphical representation of u and v for a convex lens when |u| >, is ",(1) | (2) | (3) | (4) List-I List-II,3,physics,Ray Optics
29 Jan Shift 1,"Electricfieldinside(distance r > 0 fromcenter) (A) of auniformlychargedsphericalshellwith (I) σ/ϵ 0 surfacechargedensity σ,andradiusR. Electricfieldatdistancer>0fromauniformly (B) chargedinfiniteplanesheetwithsurface (II) σ/2ϵ 0 Match List - I with List - II. chargedensity σ. Choose Electricfieldoutside(distancer>0fromcenter) (C) of auniformlychargedsphericalshellwith (III) 0 surfacechargedensity σ,andradiusR. Electricfieldbetween 2 oppositelycharged (D) infiniteplaneparallelsheetswithuniform (IV) σR2 ϵ0r2 surfacechargedensity σ. the correct answer from the options given below :","(1) (A)-(III), (B)-(II), (C)-(IV), (D)-(I) | (2) (A)-(IV), (B)-(II), (C)-(III), (D)-(I) | (3) (A)-(II), (B)-(I), (C)-(IV), (D)-(III) | (4) (A)-(IV), (B)-(I), (C)-(III), (D)-(II)",1,physics,Electrostatics
29 Jan Shift 1,"For the circuit shown above, equivalent GATE is :",(1) OR gate | (2) NAND gate | (3) NOT gate | (4) AND gate 2 025,1,physics,Digital Electronics / Logic Gates
29 Jan Shift 1,"The expression given below shows the variation of velocity (v) with time (t), v = At2 + Bt . The dimension C+t of ABC is :",(1) [M0 L1 T−3] | (2) [M0 L2 T−2] | (3) [M0 L1 T−2] | (4) [M0 L2 T−3],4,physics,Units & Dimensions
29 Jan Shift 1,The workdone in an adiabatic change in an ideal gas depends upon only :,(1) change in its temperature | (2) change in its volume | (3) change in its pressure | (4) change in its specific heat,1,physics,Thermodynamics
29 Jan Shift 1,"The fractional compression (ΔV) of water at the depth of 2.5 km below the sea level is ______ %. Given, the V Bulk modulus of water = 2×109 N m−2 , density of water = 103 kgm−3 , acceleration due to gravity = g = 10 m s−2 .",(1) 1.25 | (2) 1.0 | (3) 1.75 | (4) 1.5,1,physics,Properties Of Matter
29 Jan Shift 1,The pair of physical quantities not having same dimensions is :,(1) Pressure and Young's modulus | (2) Surface tension and impulse | (3) Torque and energy | (4) Angular momentum and Planck's constant,2,physics,Units & Dimensions
29 Jan Shift 1,"Consider I 1 and I 2 are the currents flowing simultaneously in two nearby coils 1 & 2, respectively. If L 1 = self inductance of coil 1,M 12 = mutual inductance of coil 1 with respect to coil 2, then the value of induced emf in coil 1 will be Options",(1) ε 1 = −L 1 d d I t 2 −M 12 d d I t 1 | (2) ε 1 = −L 1 d d I t 1 −M 12 d d I t 2 | (3) ε 1 = −L 1 d d I t 1 −M 12 d d I t 1 | (4) ε 1 = −L 1 d d I t 1 +M 12 d d I t 2,2,physics,Electromagnetic Induction
29 Jan Shift 1,"Given below are two statements : one is labelled as Assertion (A) and the other is labelled as Reason (R). Assertion (A) : Time period of a simple pendulum is longer at the top of a mountain than that at the base of the mountain. Reason (R): Time period of a simple pendulum decreases with increasing value of acceleration due to gravity and vice-versa. In the light of the above statements, choose the most appropriate answer from the options given below :",(1) Both (A) and (R) are true and (R) is the correct | (2) (A) is true but (R) is false explanation of (A) | (3) (A) is false but (R) is true | (4) Both (A) and (R) are true but (R) is not the correct explanation of (A),1,physics,Oscillations & Gravitation
29 Jan Shift 1,"A body of mass ' m ' connected to a massless and unstretchable string goes in verticle circle of radius ' R 'under gravity g. The other end of the string is fixed at the center of circle. If velocity at top of circular path is n√gR, where, n ⩾ 1, then ratio of kinetic energy of the body at bottom to that at top of the circle is n2 n2+4",(1) | (2) n2+4 n2 n+4 n | (3) | (4) n n+4,2,physics,"Work, Power & Energy + Circular Motion"
29 Jan Shift 1,"In a hydraulic lift, the surface area of the input piston is 6 cm2 and that of the output piston is 1500 cm2 . If 100 N force is applied to the input piston to raise the output piston by 20 cm, then the work done is _______ kJ. ",,5,physics,Fluids
29 Jan Shift 1,"The coordinates of a particle with respect to origin in a given reference frame is (1,1,1) meters. If a force of → F =^i−^j+k^ acts on the particle, then the magnitude of torque (with respect to origin) in z-direction is ______.",,2,physics,System Of Particles & Rotational Motion
29 Jan Shift 1,"Two light beams fall on a transparent material block at point 1 and 2 with angle θ 1 and θ 2′ respectively, as shown in figure. After refraction, the beams intersect at point 3 which is exactly on the interface at other end of the block. Given : the distance between 1 and 2, d = 4√3 cm and θ 1 = θ 2 = cos−1( 2 n n 2 ), where refractive 1 index of the block n 2 > refractive index of the outside medium n 1, then the thickness of the block is ________ cm.",,6,physics,Ray Optics
29 Jan Shift 1,"A container of fixed volume contains a gas at 27∘C. To double the pressure of the gas, the temperature of gas should be raised to ______ ∘C.",,327,physics,Thermodynamics
29 Jan Shift 1,"The maximum speed of a boat in still water is 27 km/h. Now this boat is moving downstream in a river flowing at 9 km/h. A man in the boat throws a ball vertically upwards with speed of 10 m/s. Range of the ball as observed by an observer at rest on the river bank, is _______ cm. (Take g = 10 m/s2 ) List-I List-II",,2000,physics,Relative Motion + Projectile Motion
29 Jan Shift 1,(Complex) (Hybridisation&Magneticcharacters) (A) [MnBr ]2− (I) d2s3 &diamagnetic 4 Match List - I with List - II. (B) [FeF ]3− (II) sp3 d2 &paramagnetic 6 (C) [Co(C O ) ]3− (III) sp3 &diamagnetic 2 4 3 (D) [Ni(CO) ] (IV) sp3 &paramagnetic 4 Choose the correct answer from the options given below :,"(1) (A) −(IV),(B)−(II),(C)−(I),(D)−(III) | (2) (A)−(III),(B)−(I),(C)−(II),(D)−(IV) | (3) (A) −(IV),(B)−(I),(C)−(II),(D)−(III) | (4) (A)−(III),(B)−(II),(C)−(I),(D)−(IV)",1,chemistry,Coordination Compounds
29 Jan Shift 1,J of energy is transferred as heat to 0.5 mol of Argon gas at 298 K and 1.00 atm. The final temperature and the change in internal energy respectively are: Given : R = 8.3 J K−1 mol−1,(1) 378 K and 500 J | (2) 368 K and 500 J | (3) 348 K and 300 J | (4) 378 K and 300 J,3,chemistry,Thermodynamics
29 Jan Shift 1,"At temperature T, compound AB 2( g) dissociates as AB 2( g) ⇌ AB (g) + 1 2 B 2( g) having degree of dissociation x (small compared to unity). The correct expression for x in terms of K p and p is ",(1) √4 2K p | (2) √3 2K p p p | (3) √3 2 K2 p | (4) √K p p,3,chemistry,Chemical Equilibrium
29 Jan Shift 1,"An element ' E′ has the ionisation enthalpy value of 374 kJ mol−1 . ' E ' reacts with elements A,B,C and D with electron gain enthalpy values of −328,−349,−325 and −295 kJ mol−1 , respectively. The correct order of the products EA, EB, EC and ED in terms of ionic character is :",(1) ED > EC > EB > EA | (2) EA > EB > EC > ED | (3) EB > EA > EC > ED | (4) ED > EC > EA > EB,3,chemistry,Chemical Bonding
29 Jan Shift 1,"Total number of nucleophiles from the following is : ⊖ NH ,PhSH,(H C) S,H C = CH ,O H,H O⊕,(CH ) CO,⇌ NCH 3 3 2 2 2 3 3 2 3",(1) 7 | (2) 4 | (3) 6 | (4) 5,4,chemistry,Organic Chemistry – General Concepts
29 Jan Shift 1,The steam volatile compounds among the following are : (A) (B) (C) (D) Choose the correct answer from the options given below :,"(1) (B) and (D) Only | (2) (A) and (C) Only | (3) (A), (B) and (C) Only | (4) (A) and (B) Only",4,chemistry,Organic Chemistry – General Concepts
29 Jan Shift 1,"Given below are two statements : Statement (I): The radii of isoelectronic species increases in the order. Mg2+ < Na+ < F− < O2− Statement (II): The magnitude of electron gain enthalpy of halogen decreases in the order. Cl > F > Br > I In the light of the above statements, choose the most appropriate answer from the options given below :",(1) Statement I is incorrect but Statement II is | (2) Statement I is correct but Statement II is correct incorrect | (3) Both Statement I and Statement II are incorrect | (4) Both Statement I and Statement II are correct 2 025,4,chemistry,Periodic Table & Properties
29 Jan Shift 1,"(Carbohydrate) (LinkageSource) (A) Amylose (I) β−C −C ,plant 1 4 Match List - I with List - II. Choose the (B) Cellulose (II) α−C −C , animal 1 4 (C) Glycogen (III) α−C −C ,α−C −C , plant 1 4 1 6 (D) Amylopectin (IV) α−C −C , plant 1 4 correct answer from the options given below :","(1) (A)-(IV), (B)-(I), (C)-(III), (D)-(II) | (2) (A)-(III), (B)-(II), (C)-(I), (D)-(IV) | (3) (A)-(II), (B)-(III), (C)-(I), (D)-(IV) | (4) (A)-(IV), (B)-(I), (C)-(II), (D)-(III)",4,chemistry,Biomolecules
29 Jan Shift 1,"The molar conductivity of a weak electrolyte when plotted against the square root of its concentration, which of the following is expected to be observed ?",(1) A small decrease in molar conductivity is | (2) Molar conductivity decreases sharply with observed at infinite dilution. increase in concentration. | (3) A small increase in molar conductivity is | (4) Molar conductivity increases sharply with observed at infinite dilution. increase in concentration.,2,chemistry,Electrochemistry
29 Jan Shift 1,The standard reduction potential values of some of the p-block ions are given below. Predict the one with the strongest oxidising capacity.,(1) E⊖ = +1.67 V | (2) E⊖ = +1.15 V Pb4+/Pb2+ Sn4+/Sn2+ | (3) E⊖ = −1.66 V | (4) E⊖ /Tl/2.26 V Al3+/Al T1,1,chemistry,Electrochemistry
29 Jan Shift 1,The product (P) formed in the following reaction is :,(1) | (2) | (3) | (4) 2 025,1,chemistry,Organic Chemistry – Reaction Mechanisms
29 Jan Shift 1,"If a 0 is denoted as the Bohr radius of hydrogen atom, then what is the de-Broglie wavelength (λ) of the electron present in the second orbit of hydrogen atom? [n : any integer] 8πa 2a",(1) 0 | (2) 0 n nπ | (3) 4n | (4) 4πa 0 πa n 0,1,chemistry,Atomic Structure
29 Jan Shift 1,Match List - I with List - II. Choose the correct answer from the options given below :,"(1) (A)-(II), (B)-(III), (C)-(IV), (D)-(I) | (2) (A)-(II), (B)-(III), (C)-(I), (D)-(IV) | (3) (A)-(III), (B)-(II), (C)-(I), (D)-(IV) | (4) (A)-(III), (B)-(II), (C)-(IV), (D)-(I) A k A+A (fast)",1,chemistry,Chemical Kinetics
29 Jan Shift 1,2 1 k −1 − The reaction A 2 +B 2 → 2AB follows the mechanism A+B k →2 AB+B (slow) The overall order of the 2 A+B → AB (fast) reaction is :,(1) 2 | (2) 2.5 | (3) 3 | (4) 1.5,4,chemistry,Chemical Kinetics
29 Jan Shift 1,"1.24 g of AX 2 (molar mass 124 g mol−1 ) is dissolved in 1 kg of water to form a solution with boiling point of 100.0156∘C, while 25.4 g∘ of AY 2 (molar mass 250 g mol−1 ) in 2 kg of water constitutes a solution with a boiling point of 100.0260∘C. K b (H 2 O) = 0.52 K kg mol−1 Which of the following is correct ?",(1) AX 2 is fully ionised while AY 2 is completely | (2) AX 2 is completely unionised while AY 2 is fully unionised. ionised. | (3) AX 2 and AY 2 (both) are completely unionised. | (4) AX 2 and AY 2 (both) are fully ionised.,1,chemistry,Solutions & Colligative Properties
29 Jan Shift 1,"Choose the correct statements. (A) Weight of a substance is the amount of matter present in it. (B) Mass is the force exerted by gravity on an object. (C) Volume is the amount of space occupied by a substance. (D) Temperatures below 0∘C are possible in Celsius scale, but in Kelvin scale negative temperature is not possible. (E) Precision refers to the closeness of various measurements for the same quantity. Choose the correct answer from the options given below :","(1) (A), (D) and (E) Only | (2) (C), (D) and (E) Only | (3) (A), (B) and (C) Only | (4) (B), (C) and (D) Only",2,chemistry,Basic Concepts Of Chemistry
29 Jan Shift 1,"The correct option with order of melting points of the pairs (Mn,Fe),(Tc,Ru) and (Re,Os) is :","(1) Fe < Mn,Ru < Tc and Re < Os | (2) Mn < Fe,Tc < Ru and Os < Re | (3) Mn < Fe,Tc < Ru and Re < Os | (4) Fe < Mn,Ru < Tc and Os < Re ∣ ∣∣ ∣ 2 025",2,chemistry,Periodic Table
29 Jan Shift 1,For a Mg Mg2+(aq) Ag+(aq) Ag the correct Nernst Equation is :,(1) E = Eo − RTln [Ag+] | (2) E = Eo + RTln [Ag+]2 cell cell 2 F [Mg2+] cell cell 2 F [Mg2+] | (3) E = Eo − RTln [Ag+]2 | (4) E = Eo − RTln [Mg2+] cell cell 2 F [Mg2+] cell cell 2 F [Ag+],2,chemistry,Electrochemistry
29 Jan Shift 1,In the following substitution reaction: product ′P′ formed is :,(1) | (2) | (3) | (4),4,chemistry,Organic Chemistry – Haloalkanes
29 Jan Shift 1,The correct increasing order of stability of the complexes based on Δ o value is : I. [Mn(CN) 6 ]3− II. [Co(CN) 6 ]4− III. [Fe(CN) 6 ]4− IV. [Fe(CN) 6 ]3−,(1) IV < III < II < I | (2) I < II < IV < III | (3) III < II < IV < I | (4) II < III < I < IV,2,chemistry,Coordination Compounds
29 Jan Shift 1,The molar mass of the water insoluble product formed from the fusion of chromite ore (FeCr 2 O 4 ) with Na 2 CO 3 in presence of O 2 is _______ gmol−1 .,,160,chemistry,General Principles Of Metallurgy
29 Jan Shift 1,"Given below are some nitrogen containing compounds Each of them is treated with HCl separately. 1.0 g of the most basic compound will consume _______ mg of HCl. (Given molar mass in gmol−1C : 12,H : 1,O : 16,Cl : 35.5)",,341,chemistry,Organic Chemistry – Amines
29 Jan Shift 1,"The sum of sigma (σ) and pi (π) bonds in Hex-1,3-dien-5-yne is _______.",,15,chemistry,Organic Chemistry – Hydrocarbons
29 Jan Shift 1,"0.1 mole of compound ' S ' will weigh _______ g. (Given molar mass in gmol−1C : 12,H : 1,O : 16)",,13,chemistry,Basic Concepts Of Chemistry
29 Jan Shift 1,"If A 2 B is 30% ionised in an aqueous solution, then the value of van't Hoff factor (i) is ______ ×10−1 .",,16,chemistry,Solutions & Colligative Properties
29 Jan Shift 2,"Let f(x) = ∫tt(t2 −9t+20)dt,1 ≤ x ≤ 5. If the range of f is [α,β], then 4(α+β) equals : 0",(1) 253 | (2) 154 | (3) 125 | (4) 157,4,math,Definite Integration
29 Jan Shift 2,"Let a^ be a unit vector perpendicular to the vectors → b =^i−2^j+3k^ and → c = 2^i+3^j−k^ , and makes an angle of cos−1(−1) with the vector ^i+^j+k^ . If ^a makes an angle of π with the vector ^i+α^j+k^ , then the value of α 3 3 is :",(1) √6 | (2) −√6 | (3) −√3 | (4) √3,2,math,Vector Algebra
29 Jan Shift 2,"If for the solution curve y = f(x) of the differential equation dy +(tanx)y = 2+secx , dx (1+2secx)2 x ∈ (−π, π),f(π) = √3 , then f(π) is equal to : 2 2 3 10 4 √3+1 5−√3",(1) | (2) 10 | (3) | (4) 10,4,math,Differential Equations
29 Jan Shift 2,"Let P be the foot of the perpendicular from the point (1,2,2) on the line L : x−1 = y+1 = z−2 . Let the line 1 −1 2 r→= (−^i+^j−2k^)+λ(^i−^j+k^),λ ∈ R, intersect the line L at Q . Then 2(PQ)2 is equal to :",(1) 25 | (2) 19 | (3) 29 | (4) 27,4,math,3D Geometry
29 Jan Shift 2,"Let A = [a ij ] be a matrix of order 3×3, with a ij = (√2)i+j . If the sum of all the elements in the third row of A2 is α+β√2,α,β ∈ Z, then α+β is equal to :",(1) 280 | (2) 224 | (3) 210 | (4) 168,2,math,Matrices & Determinants
29 Jan Shift 2,"Let the line x+y = 1 meet the axes of x and y at A and B, respectively. A right angled triangle AMN is inscribed in the triangle OAB , where O is the origin and the points M and N lie on the lines OB and AB, respectively. If the area of the triangle AMN is 4 of the area of the triangle OAB and AN : NB = λ : 1, then 9 the sum of all possible value(s) of is λ : 5",(1) 2 | (2) 2 1 13 | (3) | (4) 2 6,1,math,Straight Lines
29 Jan Shift 2,"If all the words with or without meaning made using all the letters of the word ""KANPUR"" are arranged as in a dictionary, then the word at 440th position in this arrangement, is :",(1) PRNAUK | (2) PRKANU | (3) PRKAUN | (4) PRNAKU,3,math,Permutation & Combination
29 Jan Shift 2,"If the set of all a ∈ R, for which the equation 2x2 +(a−5)x+15 = 3a has no real root, is the interval (α,β), and X = {x ∈ Z : α < x < β}, then ∑ x2 is equal to : x∈X",(1) 2109 | (2) 2129 | (3) 2119 | (4) 2139,4,math,Quadratic Equations / Algebra
29 Jan Shift 2,"Let A = [a ij ] be a 2×2 matrix such that a ij ∈ {0,1} for all i and j. Let the random variable X denote the possible values of the determinant of the matrix A. Then, the variance of X is : ",(1) | (2) 4 8 3 1 | (3) | (4) 8 4,3,math,Matrices & Determinants
29 Jan Shift 2,"Let the function f(x) = (x2 +1) x2 −ax+2 +cos|x| be not differentiable at the two points x = α = 2 and x = β. Then the distance of the point (α,β) from the line 12x+5y+10 = 0 is equal to :",(1) 5 | (2) 4 | (3) 3 | (4) 2,3,math,Functions
29 Jan Shift 2,"Let the area enclosed between the curves |y| = 1−x2 and x2 +y2 = 1 be α. If 9α = βπ+γ;β,γ are integers, then the value of |β−γ| equals.",(1) 27 | (2) 33 | (3) 15 | (4) 18,2,math,Area Under Curves
29 Jan Shift 2,"The remainder, when 7103 is divided by 23 , is equal to :",(1) 6 | (2) 17 | (3) 9 | (4) 14,4,math,Binomial Theorem
